0.06469849246231156 ('DAI62779', 'ELE17451', 'DAI31081')
0.10207336523125997 ('DAI75645', 'FRO40251', 'ELE26917')
0.10353982300884956 ('DAI75645', 'SNA80324', 'DAI55148')
0.10353982300884956 ('DAI75645', 'SNA80324', 'SNA55762')
0.10353982300884956 ('SNA80324', 'DAI75645', 'DAI55148')
0.10530973451327434 ('DAI75645', 'SNA80324', 'FRO92469')
0.10619469026548672 ('DAI75645', 'SNA80324', 'GRO94758')
0.10934579439252337 ('DAI62779', 'FRO40251', 'DAI88079')
0.10964550700741962 ('FRO40251', 'GRO85051', 'DAI55911')
0.10964550700741962 ('GRO85051', 'FRO40251', 'DAI55911')
0.11084529505582137 ('DAI75645', 'FRO40251', 'ELE74009')
0.11220043572984749 ('DAI62779', 'DAI85309', 'DAI75645')
0.1145919208573784 ('FRO40251', 'GRO85051', 'ELE20847')
0.1145919208573784 ('GRO85051', 'FRO40251', 'ELE20847')
0.11501316944688324 ('DAI62779', 'GRO73461', 'ELE32164')
0.11504424778761062 ('DAI75645', 'SNA80324', 'ELE26917')
0.11525795828759605 ('ELE32164', 'GRO59710', 'FRO53271')
0.11592920353982301 ('DAI75645', 'SNA80324', 'GRO30386')
0.11678004535147392 ('FRO40251', 'GRO73461', 'GRO56726')
0.11700975081256772 ('DAI62779', 'SNA80324', 'GRO94758')
0.11744583808437856 ('DAI62779', 'ELE92920', 'DAI83733')
0.11802232854864433 ('DAI75645', 'FRO40251', 'DAI88079')
0.11852502194907814 ('DAI62779', 'GRO73461', 'GRO46854')
0.11869158878504672 ('DAI62779', 'FRO40251', 'DAI85309')
0.11972633979475485 ('DAI62779', 'ELE92920', 'ELE74009')
0.12018140589569161 ('FRO40251', 'GRO73461', 'GRO38814')
0.12018140589569161 ('FRO40251', 'GRO73461', 'GRO46854')
0.12036273701566365 ('FRO40251', 'GRO85051', 'ELE26917')
0.12036273701566365 ('GRO85051', 'FRO40251', 'ELE26917')
0.12118713932399011 ('FRO40251', 'GRO85051', 'GRO73461')
0.12200956937799043 ('DAI75645', 'FRO40251', 'ELE20847')
0.12294182217343579 ('ELE32164', 'GRO59710', 'DAI31081')
0.12294182217343579 ('GRO59710', 'ELE32164', 'DAI31081')
0.12459371614301191 ('DAI62779', 'SNA80324', 'FRO92469')
0.12467076382791922 ('DAI62779', 'GRO73461', 'FRO19221')
0.12574850299401197 ('FRO40251', 'FRO92469', 'DAI55148')
0.12574850299401197 ('FRO92469', 'FRO40251', 'DAI55148')
0.12585034013605442 ('FRO40251', 'GRO73461', 'GRO69543')
0.12770809578107184 ('DAI62779', 'ELE92920', 'DAI42493')
0.12770809578107184 ('ELE92920', 'DAI62779', 'DAI42493')
0.13432835820895522 ('DAI62779', 'GRO73461', 'GRO71621')
0.13520632133450394 ('DAI62779', 'GRO73461', 'GRO38814')
0.1383177570093458 ('DAI62779', 'FRO40251', 'ELE20847')
0.14185393258426968 ('DAI75645', 'GRO73461', 'GRO38814')
0.14185393258426968 ('DAI75645', 'GRO73461', 'GRO46854')
0.14205607476635515 ('DAI62779', 'FRO40251', 'ELE92920')
0.14258793969849246 ('DAI62779', 'ELE17451', 'DAI43223')
0.14258793969849246 ('ELE17451', 'DAI62779', 'DAI43223')
0.14513274336283186 ('DAI75645', 'SNA80324', 'ELE20847')
0.14610778443113773 ('FRO40251', 'FRO92469', 'ELE20847')
0.14610778443113773 ('FRO92469', 'FRO40251', 'ELE20847')
0.14734561213434452 ('DAI62779', 'SNA80324', 'GRO30386')
0.14823261117445838 ('DAI62779', 'ELE92920', 'DAI75645')
0.1503267973856209 ('DAI62779', 'DAI85309', 'DAI83733')
0.15188762071992976 ('DAI62779', 'GRO73461', 'GRO21487')
0.15538461538461537 ('DAI62779', 'ELE26917', 'DAI75645')
0.15589887640449437 ('DAI75645', 'GRO73461', 'FRO47962')
0.15715539947322213 ('DAI62779', 'GRO73461', 'DAI85309')
0.1601123595505618 ('DAI75645', 'GRO73461', 'GRO21487')
0.1607898448519041 ('DAI62779', 'GRO30386', 'FRO40251')
0.1630558722919042 ('DAI62779', 'ELE92920', 'DAI23334')
0.1630558722919042 ('ELE92920', 'DAI62779', 'DAI23334')
0.16326530612244897 ('FRO40251', 'GRO73461', 'DAI88079')
0.16326530612244897 ('GRO73461', 'FRO40251', 'DAI88079')
0.16330114135206322 ('DAI62779', 'GRO73461', 'GRO30386')
0.1643059490084986 ('FRO40251', 'SNA80324', 'ELE20847')
0.1643059490084986 ('FRO40251', 'SNA80324', 'GRO73461')
0.1643059490084986 ('SNA80324', 'FRO40251', 'ELE20847')
0.1657638136511376 ('DAI62779', 'SNA80324', 'ELE20847')
0.16643159379407615 ('DAI62779', 'GRO30386', 'ELE32164')
0.16947115384615385 ('DAI62779', 'ELE32164', 'DAI85309')
0.16991150442477876 ('DAI75645', 'SNA80324', 'GRO85051')
0.1699438202247191 ('DAI75645', 'GRO73461', 'ELE17451')
0.17142857142857143 ('DAI62779', 'GRO71621', 'FRO40251')
0.17216642754662842 ('ELE17451', 'FRO40251', 'DAI55148')
0.17216642754662842 ('FRO40251', 'ELE17451', 'DAI55148')
0.17647058823529413 ('ELE17451', 'FRO40251', 'DAI88079')
0.17647058823529413 ('FRO40251', 'ELE17451', 'DAI88079')
0.1766355140186916 ('DAI62779', 'FRO40251', 'DAI55148')
0.1766355140186916 ('FRO40251', 'DAI62779', 'DAI55148')
0.17758620689655172 ('ELE17451', 'GRO73461', 'GRO30386')
0.17889530090684255 ('FRO40251', 'GRO85051', 'ELE17451')
0.17889530090684255 ('GRO85051', 'FRO40251', 'ELE17451')
0.1800356506238859 ('DAI62779', 'GRO59710', 'GRO30386')
0.18027210884353742 ('FRO40251', 'GRO73461', 'ELE17451')
0.18027210884353742 ('GRO73461', 'FRO40251', 'ELE17451')
0.18066561014263074 ('GRO21487', 'GRO73461', 'DAI75645')
0.18066561014263074 ('GRO73461', 'GRO21487', 'DAI75645')
0.18381112984822934 ('DAI62779', 'SNA55762', 'GRO73461')
0.18480725623582767 ('DAI62779', 'DAI75645', 'DAI55148')
0.18480725623582767 ('DAI75645', 'DAI62779', 'DAI55148')
0.18543046357615894 ('DAI62779', 'SNA45677', 'GRO73461')
0.18760469011725292 ('ELE17451', 'SNA80324', 'DAI55148')
0.18760469011725292 ('SNA80324', 'ELE17451', 'DAI55148')
0.18814139110604333 ('DAI62779', 'ELE92920', 'ELE32164')
0.19205298013245034 ('DAI62779', 'SNA45677', 'GRO94758')
0.19322990126939352 ('DAI62779', 'GRO30386', 'DAI75645')
0.19378427787934185 ('DAI75645', 'ELE17451', 'DAI55148')
0.19378427787934185 ('ELE17451', 'DAI75645', 'DAI55148')
0.19401197604790418 ('FRO40251', 'FRO92469', 'ELE17451')
0.19401197604790418 ('FRO92469', 'FRO40251', 'ELE17451')
0.1949579831932773 ('DAI62779', 'GRO71621', 'DAI85309')
0.19536423841059603 ('DAI62779', 'SNA45677', 'DAI85309')
0.19561551433389546 ('DAI62779', 'SNA55762', 'DAI85309')
0.1976284584980237 ('DAI62779', 'SNA18336', 'ELE32164')
0.2015810276679842 ('DAI62779', 'SNA18336', 'FRO40251')
0.20353982300884957 ('DAI75645', 'SNA80324', 'GRO73461')
0.20368364030335862 ('DAI62779', 'SNA80324', 'DAI55148')
0.20368364030335862 ('SNA80324', 'DAI62779', 'DAI55148')
0.20603015075376885 ('DAI62779', 'ELE17451', 'DAI75645')
0.20634920634920634 ('FRO40251', 'GRO73461', 'GRO21487')
0.20677361853832443 ('DAI62779', 'GRO59710', 'ELE92920')
0.2075098814229249 ('DAI62779', 'SNA18336', 'GRO15017')
0.20862068965517241 ('ELE17451', 'GRO73461', 'DAI75645')
0.20862068965517241 ('GRO73461', 'ELE17451', 'DAI75645')
0.2129396984924623 ('DAI62779', 'ELE17451', 'DAI85309')
0.21451787648970747 ('DAI62779', 'SNA80324', 'GRO73461')
0.2151009657594381 ('DAI62779', 'GRO73461', 'ELE17451')
0.21541501976284586 ('DAI62779', 'SNA18336', 'DAI42493')
0.21541501976284586 ('SNA18336', 'DAI62779', 'DAI42493')
0.217787913340935 ('DAI62779', 'ELE92920', 'DAI85309')
0.2217343578485181 ('ELE32164', 'GRO59710', 'ELE17451')
0.2217343578485181 ('GRO59710', 'ELE32164', 'ELE17451')
0.2221018418201517 ('DAI62779', 'SNA80324', 'GRO85051')
0.22755741127348644 ('DAI62779', 'GRO94758', 'ELE78169')
0.22839506172839505 ('ELE32164', 'GRO73461', 'DAI43223')
0.22839506172839505 ('GRO73461', 'ELE32164', 'DAI43223')
0.22914837576821773 ('DAI62779', 'GRO73461', 'DAI75645')
0.23110151187904968 ('FRO85978', 'SNA95666', 'DAI62779')
0.23110151187904968 ('SNA95666', 'FRO85978', 'DAI62779')
0.23277467411545624 ('DAI62779', 'SNA93860', 'FRO19221')
0.23285486443381181 ('DAI75645', 'FRO40251', 'ELE17451')
0.23376623376623376 ('DAI62779', 'FRO19221', 'ELE21353')
0.23636363636363636 ('DAI62779', 'FRO80039', 'ELE17451')
0.23644251626898047 ('DAI62779', 'GRO46854', 'ELE17451')
0.23653395784543327 ('GRO38814', 'GRO73461', 'DAI75645')
0.23653395784543327 ('GRO73461', 'GRO38814', 'DAI75645')
0.2386117136659436 ('DAI62779', 'GRO46854', 'DAI85309')
0.23922902494331066 ('FRO40251', 'GRO73461', 'FRO92469')
0.24291784702549576 ('FRO40251', 'SNA80324', 'FRO92469')
0.24615384615384617 ('DAI62779', 'ELE26917', 'ELE17451')
0.24824355971896955 ('GRO38814', 'GRO73461', 'FRO40251')
0.24824355971896955 ('GRO73461', 'GRO38814', 'FRO40251')
0.25 ('FRO40251', 'SNA80324', 'ELE17451')
0.25 ('SNA80324', 'FRO40251', 'ELE17451')
0.25103734439834025 ('DAI62779', 'FRO78087', 'ELE17451')
0.251131221719457 ('DAI62779', 'SNA96271', 'ELE17451')
0.25245098039215685 ('DAI62779', 'SNA90094', 'ELE17451')
0.25316455696202533 ('FRO31317', 'GRO73461', 'DAI62779')
0.25316455696202533 ('GRO73461', 'FRO31317', 'DAI62779')
0.2569832402234637 ('DAI62779', 'SNA93860', 'ELE59028')
0.2570694087403599 ('DAI62779', 'GRO38814', 'FRO40251')
0.2579185520361991 ('DAI62779', 'SNA96271', 'GRO73461')
0.25925925925925924 ('DAI62779', 'ELE74009', 'ELE17451')
0.2596401028277635 ('GRO46854', 'GRO73461', 'DAI75645')
0.2596401028277635 ('GRO73461', 'GRO46854', 'DAI75645')
0.26018099547511314 ('DAI62779', 'SNA96271', 'SNA45677')
0.26158940397350994 ('DAI62779', 'SNA45677', 'ELE17451')
0.2623318385650224 ('DAI88079', 'FRO40251', 'DAI62779')
0.2623318385650224 ('FRO40251', 'DAI88079', 'DAI62779')
0.2639593908629442 ('DAI88807', 'SNA72163', 'DAI62779')
0.2639593908629442 ('SNA72163', 'DAI88807', 'DAI62779')
0.2646566164154104 ('ELE17451', 'SNA80324', 'GRO85051')
0.26475548060708265 ('DAI62779', 'SNA55762', 'ELE17451')
0.26548672566371684 ('DAI75645', 'SNA80324', 'ELE17451')
0.26649746192893403 ('DAI88807', 'SNA72163', 'ELE17451')
0.2672268907563025 ('DAI62779', 'GRO71621', 'ELE17451')
0.26954732510288065 ('ELE32164', 'GRO73461', 'DAI62779')
0.26954732510288065 ('GRO73461', 'ELE32164', 'DAI62779')
0.2710526315789474 ('GRO30386', 'GRO73461', 'ELE17451')
0.2710526315789474 ('GRO73461', 'GRO30386', 'ELE17451')
0.27249357326478146 ('GRO46854', 'GRO73461', 'FRO40251')
0.27249357326478146 ('GRO73461', 'GRO46854', 'FRO40251')
0.27413793103448275 ('ELE17451', 'GRO73461', 'FRO40251')
0.27416798732171155 ('GRO21487', 'GRO73461', 'DAI62779')
0.27416798732171155 ('GRO73461', 'GRO21487', 'DAI62779')
0.2757847533632287 ('DAI88079', 'FRO40251', 'ELE17451')
0.276558384547849 ('DAI62779', 'GRO73461', 'FRO40251')
0.27918781725888325 ('DAI88807', 'SNA72163', 'GRO73461')
0.28189300411522633 ('ELE32164', 'GRO73461', 'GRO59710')
0.28191489361702127 ('DAI62779', 'FRO31317', 'ELE17451')
0.28388746803069054 ('DAI62779', 'GRO15017', 'ELE17451')
0.28502994011976046 ('FRO40251', 'FRO92469', 'DAI62779')
0.28502994011976046 ('FRO92469', 'FRO40251', 'DAI62779')
0.2853333333333333 ('FRO40251', 'GRO21487', 'DAI75645')
0.2853333333333333 ('GRO21487', 'FRO40251', 'DAI75645')
0.28677839851024206 ('DAI62779', 'SNA93860', 'SNA53220')
0.2884310618066561 ('GRO21487', 'GRO73461', 'FRO40251')
0.2884310618066561 ('GRO73461', 'GRO21487', 'FRO40251')
0.28973277074542897 ('DAI43223', 'ELE32164', 'ELE17451')
0.2905027932960894 ('DAI62779', 'SNA93860', 'FRO85978')
0.29526462395543174 ('ELE17451', 'FRO31317', 'DAI62779')
0.29526462395543174 ('FRO31317', 'ELE17451', 'DAI62779')
0.2984189723320158 ('DAI62779', 'SNA18336', 'DAI85309')
0.3005988023952096 ('FRO40251', 'FRO92469', 'DAI75645')
0.3005988023952096 ('FRO92469', 'FRO40251', 'DAI75645')
0.30140845070422534 ('DAI62779', 'ELE56788', 'ELE17451')
0.3046875 ('DAI43223', 'GRO59710', 'ELE17451')
0.3054945054945055 ('ELE92920', 'SNA18336', 'DAI85309')
0.3054945054945055 ('SNA18336', 'ELE92920', 'DAI85309')
0.307475317348378 ('DAI62779', 'GRO30386', 'ELE17451')
0.3103448275862069 ('DAI62779', 'SNA99873', 'ELE17451')
0.31409727947238253 ('FRO40251', 'GRO85051', 'DAI62779')
0.31409727947238253 ('GRO85051', 'FRO40251', 'DAI62779')
0.315028901734104 ('ELE26917', 'FRO40251', 'DAI62779')
0.315028901734104 ('FRO40251', 'ELE26917', 'DAI62779')
0.3150384193194292 ('ELE32164', 'GRO59710', 'DAI43223')
0.3150384193194292 ('GRO59710', 'ELE32164', 'DAI43223')
0.31790123456790126 ('GRO56726', 'GRO73461', 'FRO40251')
0.31790123456790126 ('GRO73461', 'GRO56726', 'FRO40251')
0.3179190751445087 ('DAI85309', 'GRO46854', 'DAI62779')
0.3179190751445087 ('GRO46854', 'DAI85309', 'DAI62779')
0.325638911788953 ('FRO40251', 'GRO85051', 'DAI75645')
0.325638911788953 ('GRO85051', 'FRO40251', 'DAI75645')
0.32670454545454547 ('FRO92469', 'SNA80324', 'DAI62779')
0.32670454545454547 ('SNA80324', 'FRO92469', 'DAI62779')
0.32854864433811803 ('DAI75645', 'FRO40251', 'DAI62779')
0.32854864433811803 ('FRO40251', 'DAI75645', 'DAI62779')
0.3303834808259587 ('DAI55148', 'SNA80324', 'ELE17451')
0.33040614709110866 ('ELE32164', 'GRO59710', 'DAI62779')
0.33040614709110866 ('GRO59710', 'ELE32164', 'DAI62779')
0.33183856502242154 ('DAI88079', 'FRO40251', 'DAI75645')
0.33183856502242154 ('FRO40251', 'DAI88079', 'DAI75645')
0.3321995464852608 ('FRO40251', 'GRO73461', 'DAI75645')
0.3321995464852608 ('GRO73461', 'FRO40251', 'DAI75645')
0.33223684210526316 ('DAI22896', 'GRO73461', 'DAI62779')
0.3329326923076923 ('DAI62779', 'ELE32164', 'ELE17451')
0.3335694050991501 ('FRO40251', 'SNA80324', 'GRO85051')
0.3354564755838641 ('GRO85051', 'SNA80324', 'ELE17451')
0.3354564755838641 ('SNA80324', 'GRO85051', 'ELE17451')
0.33640552995391704 ('DAI62779', 'FRO85978', 'ELE59028')
0.3371104815864023 ('FRO40251', 'SNA80324', 'DAI62779')
0.3371104815864023 ('SNA80324', 'FRO40251', 'DAI62779')
0.3380681818181818 ('FRO92469', 'SNA80324', 'DAI75645')
0.3380681818181818 ('SNA80324', 'FRO92469', 'DAI75645')
0.3383838383838384 ('DAI62779', 'GRO81087', 'ELE92920')
0.3389830508474576 ('FRO40251', 'GRO38814', 'DAI62779')
0.3389830508474576 ('GRO38814', 'FRO40251', 'DAI62779')
0.34101382488479265 ('ELE20847', 'FRO40251', 'DAI62779')
0.34101382488479265 ('FRO40251', 'ELE20847', 'DAI62779')
0.3418803418803419 ('ELE17451', 'SNA59903', 'DAI88807')
0.3418803418803419 ('SNA59903', 'ELE17451', 'DAI88807')
0.3449519230769231 ('DAI62779', 'ELE32164', 'DAI43223')
0.3449519230769231 ('ELE32164', 'DAI62779', 'DAI43223')
0.34513274336283184 ('DAI55148', 'SNA80324', 'DAI75645')
0.34627831715210355 ('FRO40251', 'SNA45677', 'GRO85051')
0.346875 ('GRO69543', 'GRO73461', 'FRO40251')
0.346875 ('GRO73461', 'GRO69543', 'FRO40251')
0.34704370179948585 ('GRO46854', 'GRO73461', 'DAI62779')
0.34704370179948585 ('GRO73461', 'GRO46854', 'DAI62779')
0.3475409836065574 ('DAI55148', 'ELE17451', 'DAI75645')
0.3498542274052478 ('DAI55148', 'FRO40251', 'DAI75645')
0.3498542274052478 ('DAI55148', 'FRO40251', 'ELE17451')
0.3522012578616352 ('GRO73461', 'SNA45677', 'DAI62779')
0.3522012578616352 ('SNA45677', 'GRO73461', 'DAI62779')
0.35231316725978645 ('GRO73461', 'SNA80324', 'DAI62779')
0.35231316725978645 ('SNA80324', 'GRO73461', 'DAI62779')
0.35253456221198154 ('ELE20847', 'FRO40251', 'DAI75645')
0.35253456221198154 ('FRO40251', 'ELE20847', 'DAI75645')
0.3541666666666667 ('FRO40251', 'GRO71621', 'DAI62779')
0.3541666666666667 ('GRO71621', 'FRO40251', 'DAI62779')
0.3553299492385787 ('DAI88807', 'SNA72163', 'SNA59903')
0.3567708333333333 ('ELE17451', 'ELE92920', 'DAI85309')
0.3567708333333333 ('ELE92920', 'ELE17451', 'DAI85309')
0.35714285714285715 ('FRO40251', 'GRO73461', 'DAI62779')
0.35714285714285715 ('GRO73461', 'FRO40251', 'DAI62779')
0.3586626139817629 ('DAI62779', 'SNA38068', 'ELE17451')
0.36065573770491804 ('GRO38814', 'GRO73461', 'DAI62779')
0.36065573770491804 ('GRO73461', 'GRO38814', 'DAI62779')
0.3626760563380282 ('DAI85309', 'FRO40251', 'DAI75645')
0.3626760563380282 ('FRO40251', 'DAI85309', 'DAI75645')
0.36283185840707965 ('DAI55148', 'SNA80324', 'FRO40251')
0.36330935251798563 ('DAI75645', 'ELE26917', 'DAI62779')
0.36330935251798563 ('ELE26917', 'DAI75645', 'DAI62779')
0.3651685393258427 ('ELE17451', 'FRO80039', 'DAI62779')
0.3651685393258427 ('FRO80039', 'ELE17451', 'DAI62779')
0.36541889483065954 ('DAI62779', 'GRO59710', 'DAI43223')
0.36541889483065954 ('GRO59710', 'DAI62779', 'DAI43223')
0.3657289002557545 ('DAI62779', 'GRO15017', 'ELE92920')
0.36585365853658536 ('DAI88807', 'SNA59903', 'ELE17451')
0.36657303370786515 ('DAI75645', 'GRO73461', 'DAI62779')
0.36657303370786515 ('GRO73461', 'DAI75645', 'DAI62779')
0.3699421965317919 ('ELE26917', 'FRO40251', 'DAI75645')
0.3699421965317919 ('FRO40251', 'ELE26917', 'DAI75645')
0.3710247349823322 ('DAI85309', 'SNA45677', 'ELE99737')
0.37256637168141593 ('DAI75645', 'SNA80324', 'DAI62779')
0.37256637168141593 ('SNA80324', 'DAI75645', 'DAI62779')
0.3727598566308244 ('DAI62779', 'SNA72163', 'DAI88807')
0.37317073170731707 ('ELE20847', 'SNA80324', 'DAI62779')
0.37317073170731707 ('SNA80324', 'ELE20847', 'DAI62779')
0.3757828810020877 ('DAI62779', 'GRO94758', 'ELE17451')
0.3758169934640523 ('DAI75645', 'ELE20847', 'DAI62779')
0.3758169934640523 ('ELE20847', 'DAI75645', 'DAI62779')
0.3794392523364486 ('DAI62779', 'FRO40251', 'ELE17451')
0.37967914438502676 ('DAI62779', 'GRO59710', 'ELE17451')
0.38235294117647056 ('ELE17451', 'GRO59710', 'DAI43223')
0.38235294117647056 ('GRO59710', 'ELE17451', 'DAI43223')
0.3835125448028674 ('DAI62779', 'SNA72163', 'ELE17451')
0.3850467289719626 ('DAI62779', 'FRO40251', 'DAI75645')
0.38596491228070173 ('GRO73461', 'SNA72163', 'DAI88807')
0.38596491228070173 ('SNA72163', 'GRO73461', 'DAI88807')
0.3860294117647059 ('ELE17451', 'SNA72163', 'DAI88807')
0.3860294117647059 ('SNA72163', 'ELE17451', 'DAI88807')
0.3883495145631068 ('FRO40251', 'SNA45677', 'DAI75645')
0.3883495145631068 ('SNA45677', 'FRO40251', 'DAI75645')
0.3888888888888889 ('FRO40251', 'GRO71621', 'DAI75645')
0.3888888888888889 ('GRO71621', 'FRO40251', 'DAI75645')
0.3895184135977337 ('FRO40251', 'SNA80324', 'DAI75645')
0.3895184135977337 ('SNA80324', 'FRO40251', 'DAI75645')
0.389873417721519 ('DAI75645', 'GRO85051', 'DAI62779')
0.389873417721519 ('GRO85051', 'DAI75645', 'DAI62779')
0.3903225806451613 ('SNA59903', 'SNA72163', 'DAI62779')
0.3903225806451613 ('SNA72163', 'SNA59903', 'DAI62779')
0.39338235294117646 ('ELE17451', 'SNA72163', 'DAI62779')
0.39338235294117646 ('SNA72163', 'ELE17451', 'DAI62779')
0.3933865450399088 ('DAI62779', 'ELE92920', 'ELE17451')
0.39661016949152544 ('FRO40251', 'GRO38814', 'DAI75645')
0.39661016949152544 ('GRO38814', 'FRO40251', 'DAI75645')
0.39805825242718446 ('FRO40251', 'FRO53271', 'DAI75645')
0.39805825242718446 ('FRO53271', 'FRO40251', 'DAI75645')
0.4 ('ELE20847', 'SNA80324', 'DAI75645')
0.4 ('SNA80324', 'ELE20847', 'DAI75645')
0.400390625 ('DAI43223', 'GRO59710', 'DAI62779')
0.4020979020979021 ('GRO94758', 'SNA45677', 'ELE78169')
0.4020979020979021 ('SNA45677', 'GRO94758', 'ELE78169')
0.40313111545988256 ('ELE17451', 'ELE32164', 'DAI43223')
0.40313111545988256 ('ELE32164', 'ELE17451', 'DAI43223')
0.4031413612565445 ('DAI62779', 'GRO85051', 'DAI75645')
0.40365682137834036 ('DAI43223', 'ELE32164', 'DAI62779')
0.40404040404040403 ('DAI62779', 'GRO81087', 'ELE17451')
0.40559440559440557 ('GRO94758', 'SNA45677', 'DAI62779')
0.40559440559440557 ('SNA45677', 'GRO94758', 'DAI62779')
0.40764331210191085 ('GRO85051', 'SNA80324', 'DAI75645')
0.40764331210191085 ('SNA80324', 'GRO85051', 'DAI75645')
0.4092526690391459 ('GRO73461', 'SNA80324', 'DAI75645')
0.4092526690391459 ('SNA80324', 'GRO73461', 'DAI75645')
0.4096774193548387 ('SNA59903', 'SNA72163', 'ELE17451')
0.4096774193548387 ('SNA72163', 'SNA59903', 'ELE17451')
0.41015625 ('DAI42083', 'DAI92600', 'DAI62779')
0.41151685393258425 ('DAI75645', 'GRO73461', 'FRO40251')
0.41274658573596357 ('DAI85309', 'ELE99737', 'DAI62779')
0.41274658573596357 ('ELE99737', 'DAI85309', 'DAI62779')
0.4128113879003559 ('GRO73461', 'SNA80324', 'FRO40251')
0.4128113879003559 ('SNA80324', 'GRO73461', 'FRO40251')
0.4169611307420495 ('DAI85309', 'SNA45677', 'DAI62779')
0.4169611307420495 ('SNA45677', 'DAI85309', 'DAI62779')
0.41818181818181815 ('DAI62779', 'ELE20847', 'DAI75645')
0.41893830703012913 ('ELE17451', 'FRO40251', 'DAI75645')
0.41893830703012913 ('FRO40251', 'ELE17451', 'DAI75645')
0.4224137931034483 ('ELE17451', 'GRO73461', 'DAI62779')
0.4224137931034483 ('GRO73461', 'ELE17451', 'DAI62779')
0.4275092936802974 ('SNA45677', 'SNA96271', 'DAI62779')
0.4275092936802974 ('SNA96271', 'SNA45677', 'DAI62779')
0.42857142857142855 ('DAI85309', 'GRO94758', 'ELE99737')
0.42962962962962964 ('DAI85309', 'GRO71621', 'DAI62779')
0.42962962962962964 ('GRO71621', 'DAI85309', 'DAI62779')
0.43253968253968256 ('ELE78169', 'GRO94758', 'DAI62779')
0.43253968253968256 ('GRO94758', 'ELE78169', 'DAI62779')
0.4327731092436975 ('GRO30386', 'SNA80324', 'FRO40251')
0.4327731092436975 ('SNA80324', 'GRO30386', 'FRO40251')
0.43359375 ('SNA45677', 'SNA80324', 'DAI75645')
0.43359375 ('SNA80324', 'SNA45677', 'DAI75645')
0.4336917562724014 ('DAI62779', 'SNA72163', 'SNA59903')
0.43524416135881105 ('GRO85051', 'SNA80324', 'DAI62779')
0.43524416135881105 ('SNA80324', 'GRO85051', 'DAI62779')
0.4357142857142857 ('DAI31081', 'FRO40251', 'DAI75645')
0.44569288389513106 ('ELE17451', 'SNA18336', 'DAI85309')
0.44569288389513106 ('SNA18336', 'ELE17451', 'DAI85309')
0.44642857142857145 ('ELE32164', 'SNA45677', 'GRO59710')
