0.014999250037498125 ('DAI62779', 'GRO17075')
0.025498725063746813 ('DAI62779', 'ELE53126')
0.025498725063746813 ('DAI62779', 'FRO99372')
0.02576655501159495 ('FRO40251', 'GRO50832')
0.02576655501159495 ('FRO40251', 'GRO56989')
0.025806451612903226 ('ELE17451', 'DAI23334')
0.025806451612903226 ('ELE17451', 'ELE37770')
0.025806451612903226 ('ELE17451', 'SNA59061')
0.026064516129032256 ('ELE17451', 'SNA57865')
0.026098695065246737 ('DAI62779', 'SNA62128')
0.02624868756562172 ('DAI62779', 'ELE68605')
0.02624868756562172 ('DAI62779', 'GRO88511')
0.02632258064516129 ('ELE17451', 'DAI95741')
0.026539551661942797 ('FRO40251', 'ELE37770')
0.02654867256637168 ('DAI62779', 'DAI92600')
0.026698665066746664 ('DAI62779', 'SNA88283')
0.026838709677419356 ('ELE17451', 'FRO89565')
0.026838709677419356 ('ELE17451', 'SNA40784')
0.026848657567121643 ('DAI62779', 'DAI49199')
0.026998650067496625 ('DAI62779', 'ELE37048')
0.027054882762174697 ('FRO40251', 'DAI87448')
0.027054882762174697 ('FRO40251', 'ELE12951')
0.027054882762174697 ('FRO40251', 'SNA12663')
0.027096774193548386 ('ELE17451', 'DAI22240')
0.027096774193548386 ('ELE17451', 'DAI88352')
0.027298635068246587 ('DAI62779', 'GRO36567')
0.027298635068246587 ('DAI62779', 'GRO38983')
0.027312548312290647 ('FRO40251', 'FRO24098')
0.027312548312290647 ('FRO40251', 'GRO38636')
0.02735483870967742 ('ELE17451', 'GRO83463')
0.027570213862406597 ('FRO40251', 'FRO74605')
0.027570213862406597 ('FRO40251', 'FRO98729')
0.0277623542476402 ('GRO73461', 'GRO88511')
0.027870967741935485 ('ELE17451', 'FRO99783')
0.027870967741935485 ('ELE17451', 'GRO32086')
0.027898605069746514 ('DAI62779', 'GRO83463')
0.027898605069746514 ('DAI62779', 'SNA96466')
0.028085544962638494 ('FRO40251', 'FRO43226')
0.028317601332593003 ('GRO73461', 'ELE56788')
0.028317601332593003 ('GRO73461', 'GRO32086')
0.028343210512754444 ('FRO40251', 'FRO89565')
0.028343210512754444 ('FRO40251', 'SNA42528')
0.028498575071246438 ('DAI62779', 'DAI38969')
0.028498575071246438 ('DAI62779', 'DAI83948')
0.028595224875069405 ('GRO73461', 'SNA47306')
0.028600876062870394 ('FRO40251', 'DAI49199')
0.02864516129032258 ('ELE17451', 'DAI87448')
0.02864516129032258 ('ELE17451', 'ELE20398')
0.02864516129032258 ('ELE17451', 'SNA30755')
0.0287985600719964 ('DAI62779', 'GRO44993')
0.028858541612986344 ('FRO40251', 'DAI22240')
0.028872848417545807 ('GRO73461', 'ELE87456')
0.02890322580645161 ('ELE17451', 'FRO98184')
0.029116207163102294 ('FRO40251', 'FRO92261')
0.029116207163102294 ('FRO40251', 'GRO36567')
0.029116207163102294 ('FRO40251', 'GRO81647')
0.029116207163102294 ('FRO40251', 'GRO88511')
0.029116207163102294 ('FRO40251', 'SNA50789')
0.02915047196002221 ('GRO73461', 'FRO74605')
0.029161290322580646 ('ELE17451', 'GRO64900')
0.029161290322580646 ('ELE17451', 'SNA90258')
0.029248537573121344 ('DAI62779', 'DAI95741')
0.029631538263334194 ('FRO40251', 'SNA55952')
0.02967741935483871 ('ELE17451', 'ELE68605')
0.02967741935483871 ('ELE17451', 'FRO99372')
0.029983342587451417 ('GRO73461', 'ELE37798')
0.029983342587451417 ('GRO73461', 'ELE92920')
0.030148492575371232 ('DAI62779', 'FRO78994')
0.030193548387096775 ('ELE17451', 'FRO66272')
0.030193548387096775 ('ELE17451', 'GRO88324')
0.03026096612992782 ('GRO73461', 'SNA12663')
0.03026096612992782 ('GRO73461', 'SNA59061')
0.03040453491368204 ('FRO40251', 'ELE68605')
0.030451612903225806 ('ELE17451', 'ELE59028')
0.03053858967240422 ('GRO73461', 'FRO43226')
0.03053858967240422 ('GRO73461', 'FRO66272')
0.030748462576871156 ('DAI62779', 'GRO64900')
0.030816213214880622 ('GRO73461', 'ELE20398')
0.030816213214880622 ('GRO73461', 'SNA62128')
0.030816213214880622 ('GRO73461', 'SNA93860')
0.031048447577621117 ('DAI62779', 'SNA40784')
0.031093836757357024 ('GRO73461', 'FRO24098')
0.03117753156402989 ('FRO40251', 'DAI92600')
0.0311984400779961 ('DAI62779', 'ELE91337')
0.0311984400779961 ('DAI62779', 'SNA55952')
0.0312258064516129 ('ELE17451', 'DAI48891')
0.0312258064516129 ('ELE17451', 'ELE11111')
0.031371460299833426 ('GRO73461', 'ELE68605')
0.03143519711414584 ('FRO40251', 'DAI95741')
0.03143519711414584 ('FRO40251', 'ELE12792')
0.03149842507874606 ('DAI62779', 'FRO99783')
0.03174193548387097 ('ELE17451', 'SNA55952')
0.031948402579871006 ('DAI62779', 'ELE78169')
0.032 ('ELE17451', 'DAI88079')
0.03220433092726263 ('GRO73461', 'DAI55911')
0.03220433092726263 ('GRO73461', 'ELE12792')
0.03220433092726263 ('GRO73461', 'ELE59935')
0.03220433092726263 ('GRO73461', 'SNA42528')
0.03220433092726263 ('GRO73461', 'SNA95666')
0.03220819376449369 ('FRO40251', 'SNA62128')
0.03239838008099595 ('DAI62779', 'ELE21353')
0.03239838008099595 ('DAI62779', 'SNA24799')
0.03246585931460964 ('FRO40251', 'FRO61354')
0.03248195446973903 ('GRO73461', 'DAI48891')
0.03248195446973903 ('GRO73461', 'FRO61354')
0.03248195446973903 ('GRO73461', 'GRO36567')
0.03248195446973903 ('GRO73461', 'SNA44190')
0.03248195446973903 ('GRO73461', 'SNA55952')
0.03272352486472559 ('FRO40251', 'GRO35122')
0.032759578012215435 ('GRO73461', 'SNA88283')
0.0327741935483871 ('ELE17451', 'DAI55911')
0.0327741935483871 ('ELE17451', 'FRO92261')
0.032848357582120895 ('DAI62779', 'DAI48891')
0.0328515111695138 ('SNA80324', 'ELE14480')
0.032998350082495874 ('DAI62779', 'FRO75586')
0.03303225806451613 ('ELE17451', 'GRO69543')
0.033037201554691836 ('GRO73461', 'ELE30933')
0.03314834258287085 ('DAI62779', 'SNA47306')
0.03318002628120893 ('SNA80324', 'ELE53126')
0.03318002628120893 ('SNA80324', 'GRO99222')
0.03323885596495749 ('FRO40251', 'ELE53126')
0.03323885596495749 ('FRO40251', 'FRO75586')
0.03329032258064516 ('ELE17451', 'GRO56989')
0.03344832758362082 ('DAI62779', 'FRO92261')
0.03350854139290407 ('SNA80324', 'GRO69543')
0.03359244863964464 ('GRO73461', 'DAI95741')
0.03359244863964464 ('GRO73461', 'ELE62598')
0.03359244863964464 ('GRO73461', 'SNA18336')
0.0335983200839958 ('DAI62779', 'ELE34057')
0.03375418706518939 ('FRO40251', 'ELE34057')
0.03375418706518939 ('FRO40251', 'GRO44993')
0.033837056504599214 ('SNA80324', 'FRO92261')
0.03387007218212104 ('GRO73461', 'ELE49801')
0.03389830508474576 ('DAI62779', 'DAI35347')
0.03414769572459744 ('GRO73461', 'SNA59903')
0.03416557161629435 ('SNA80324', 'ELE99737')
0.03419829008549573 ('DAI62779', 'ELE62598')
0.03419829008549573 ('DAI62779', 'SNA95666')
0.03449408672798949 ('SNA80324', 'ELE59935')
0.034498275086245686 ('DAI62779', 'ELE14480')
0.03452718371553723 ('FRO40251', 'ELE59935')
0.03479826008699565 ('DAI62779', 'ELE11111')
0.03482260183968462 ('SNA80324', 'ELE37048')
0.03482260183968462 ('SNA80324', 'GRO88324')
0.03483870967741935 ('ELE17451', 'ELE37048')
0.035075412136092596 ('ELE32164', 'GRO35122')
0.035426166257453526 ('ELE32164', 'SNA96271')
0.035479632063074903 ('SNA80324', 'GRO50832')
0.035548222588870554 ('DAI62779', 'FRO53271')
0.035548222588870554 ('DAI62779', 'GRO88324')
0.035548222588870554 ('DAI62779', 'GRO99222')
0.03555784591600103 ('FRO40251', 'FRO85978')
0.03577692037881445 ('ELE32164', 'ELE68605')
0.03577692037881445 ('ELE32164', 'SNA71332')
0.03581551146611698 ('FRO40251', 'SNA47306')
0.03607317701623293 ('FRO40251', 'DAI53152')
0.03612767450017538 ('ELE32164', 'GRO46854')
0.03629818509074546 ('DAI62779', 'FRO92469')
0.03633084256634888 ('FRO40251', 'ELE99737')
0.03638709677419355 ('ELE17451', 'ELE20847')
0.03646517739816032 ('SNA80324', 'GRO44993')
0.0364784286215363 ('ELE32164', 'GRO83463')
0.03658850811646483 ('FRO40251', 'GRO99222')
0.03679369250985545 ('SNA80324', 'SNA44190')
0.03682918274289723 ('ELE32164', 'ELE53126')
0.03684617366658078 ('FRO40251', 'SNA18336')
0.036915204678362575 ('DAI75645', 'SNA18336')
0.03719814009299535 ('DAI62779', 'SNA53220')
0.03734813259337033 ('DAI62779', 'FRO79022')
0.03745072273324573 ('SNA80324', 'ELE74482')
0.03747917823431427 ('GRO73461', 'DAI55148')
0.03753069098561908 ('ELE32164', 'DAI22896')
0.03753069098561908 ('ELE32164', 'GRO32086')
0.03761917031692863 ('FRO40251', 'DAI88807')
0.03761917031692863 ('FRO40251', 'ELE37048')
0.03767741935483871 ('ELE17451', 'ELE14480')
0.03777923784494087 ('SNA80324', 'ELE32164')
0.037798110094495276 ('DAI62779', 'FRO16142')
0.038011695906432746 ('DAI75645', 'GRO64900')
0.038034425319267075 ('GRO73461', 'FRO47962')
0.03809809509524524 ('DAI62779', 'ELE74482')
0.03810775295663601 ('SNA80324', 'SNA72163')
0.03813450141716052 ('FRO40251', 'ELE14480')
0.03819354838709677 ('ELE17451', 'FRO35904')
0.03819354838709677 ('ELE17451', 'GRO99222')
0.03823219922834093 ('ELE32164', 'DAI83948')
0.03837719298245614 ('DAI75645', 'GRO32086')
0.03839216696727647 ('FRO40251', 'GRO64900')
0.03843626806833114 ('SNA80324', 'ELE66810')
0.03874269005847953 ('DAI75645', 'DAI95741')
0.03876478318002628 ('SNA80324', 'ELE92920')
0.03884805759712014 ('DAI62779', 'DAI55911')
0.03896774193548387 ('ELE17451', 'ELE53126')
0.03896774193548387 ('ELE17451', 'ELE99737')
0.03896774193548387 ('ELE17451', 'FRO75586')
0.03899805009749512 ('DAI62779', 'DAI87448')
0.039093298291721416 ('SNA80324', 'GRO64900')
0.03914491948917268 ('GRO73461', 'GRO64900')
0.03914804259787011 ('DAI62779', 'DAI88807')
0.03916516361762432 ('FRO40251', 'ELE32164')
0.0392258064516129 ('ELE17451', 'FRO16142')
0.03942282916774027 ('FRO40251', 'FRO35904')
0.03942282916774027 ('FRO40251', 'GRO38983')
0.03948387096774193 ('ELE17451', 'ELE62598')
0.03968049471785622 ('FRO40251', 'DAI22896')
0.03968049471785622 ('FRO40251', 'ELE62598')
0.03974193548387097 ('ELE17451', 'ELE66810')
0.03974193548387097 ('ELE17451', 'GRO35122')
0.03983918128654971 ('DAI75645', 'ELE12792')
0.03997779011660189 ('GRO73461', 'DAI42493')
0.0402046783625731 ('DAI75645', 'ELE34057')
0.04025541365907829 ('GRO73461', 'DAI88079')
0.04025541365907829 ('GRO73461', 'GRO68067')
0.04033672395650649 ('ELE32164', 'SNA80324')
0.04040735873850197 ('SNA80324', 'SNA38068')
0.04045349136820407 ('FRO40251', 'ELE11111')
0.04053303720155469 ('GRO73461', 'DAI73122')
0.04057017543859649 ('DAI75645', 'ELE14480')
0.04057017543859649 ('DAI75645', 'GRO35122')
0.04071115691832002 ('FRO40251', 'SNA38068')
0.04073319755600815 ('SNA45677', 'ELE86561')
0.04073319755600815 ('SNA45677', 'GRO64900')
0.0407741935483871 ('ELE17451', 'DAI35347')
0.04081066074403109 ('GRO73461', 'GRO85051')
0.04094795260236988 ('DAI62779', 'DAI23334')
0.04103225806451613 ('ELE17451', 'ELE12792')
0.04103823219922834 ('ELE32164', 'DAI37288')
0.04106438896189225 ('SNA80324', 'DAI42493')
0.04114052953156823 ('SNA45677', 'ELE59935')
0.04114052953156823 ('SNA45677', 'GRO38983')
0.04114052953156823 ('SNA45677', 'GRO56726')
0.041247937603119844 ('DAI62779', 'ELE20847')
0.04129032258064516 ('ELE17451', 'GRO38814')
0.041388986320589266 ('ELE32164', 'SNA40784')
0.04139793010349482 ('DAI62779', 'FRO66272')
0.0416435313714603 ('GRO73461', 'SNA69641')
0.041739740441950196 ('ELE32164', 'DAI55911')
0.04184790760461977 ('DAI62779', 'ELE66810')
0.04184790760461977 ('DAI62779', 'SNA72163')
0.04209049456331112 ('ELE32164', 'SNA59903')
0.04236252545824847 ('SNA45677', 'ELE92920')
0.04236252545824847 ('SNA45677', 'SNA47306')
0.042378449408672796 ('SNA80324', 'ELE66600')
0.04244124868467204 ('ELE32164', 'FRO43226')
0.042514815769131666 ('FRO40251', 'GRO32086')
0.04258064516129032 ('ELE17451', 'FRO92469')
0.04276315789473684 ('DAI75645', 'FRO35904')
0.04291845493562232 ('FRO31317', 'GRO81087')
0.04303164908384231 ('GRO73461', 'ELE99737')
0.04312865497076023 ('DAI75645', 'SNA47306')
0.043142756927393895 ('ELE32164', 'DAI35347')
0.043142756927393895 ('ELE32164', 'ELE11111')
0.043177189409368634 ('SNA45677', 'FRO53271')
0.043287812419479516 ('FRO40251', 'ELE66810')
0.043309272626318715 ('GRO73461', 'DAI83948')
0.043347639484978544 ('FRO31317', 'ELE92920')
0.043347639484978544 ('FRO31317', 'FRO35904')
0.04335483870967742 ('ELE17451', 'ELE34057')
0.04335483870967742 ('ELE17451', 'ELE66600')
0.043493511048754825 ('ELE32164', 'SNA18336')
0.043545477969595466 ('FRO40251', 'ELE56788')
0.043584521384928715 ('SNA45677', 'GRO85051')
0.043610989969472304 ('DAI85309', 'DAI35347')
0.043610989969472304 ('DAI85309', 'ELE14480')
0.04361290322580645 ('ELE17451', 'ELE74482')
0.04361290322580645 ('ELE17451', 'SNA88283')
0.043647817609119545 ('DAI62779', 'FRO35904')
0.04369250985545335 ('SNA80324', 'FRO75586')
0.04377682403433476 ('FRO31317', 'FRO78087')
0.043803143519711416 ('FRO40251', 'FRO16142')
0.04384426517011575 ('ELE32164', 'DAI73122')
0.04384426517011575 ('ELE32164', 'ELE37048')
0.043859649122807015 ('DAI75645', 'ELE66810')
0.043859649122807015 ('DAI75645', 'GRO44993')
0.04386451971127152 ('GRO73461', 'ELE11111')
0.04406631762652705 ('ELE26917', 'FRO98729')
0.04412903225806451 ('ELE17451', 'GRO15017')
0.044349540078843626 ('SNA80324', 'FRO35904')
0.04441976679622432 ('GRO73461', 'SNA90094')
0.0445457734128376 ('ELE32164', 'GRO15017')
0.044547772611369434 ('DAI62779', 'DAI22896')
0.0445906432748538 ('DAI75645', 'FRO85978')
0.04463519313304721 ('FRO31317', 'DAI88807')
0.04464516129032258 ('ELE17451', 'FRO85978')
0.044697390338700724 ('GRO73461', 'DAI91290')
0.04478280340349306 ('FRO80039', 'GRO64900')
0.04484775761211939 ('DAI62779', 'FRO32293')
0.04491931966855647 ('DAI85309', 'ELE74482')
0.044956140350877194 ('DAI75645', 'DAI22177')
0.044975013881177126 ('GRO73461', 'FRO35904')
0.04499775011249438 ('DAI62779', 'GRO61133')
0.045230631437527986 ('FRO80039', 'ELE12792')
0.045230631437527986 ('FRO80039', 'SNA55762')
0.045297735113244336 ('DAI62779', 'GRO56726')
0.04532163742690058 ('DAI75645', 'SNA38068')
0.04537521815008726 ('ELE26917', 'GRO38814')
0.04537521815008726 ('ELE26917', 'GRO56726')
0.04562118126272913 ('SNA45677', 'SNA93860')
0.04566360052562418 ('SNA80324', 'DAI83948')
0.04567845947156292 ('FRO80039', 'SNA96466')
0.04594878989828131 ('ELE32164', 'SNA62128')
0.045992115637319315 ('SNA80324', 'DAI22177')
0.04602851323828921 ('SNA45677', 'ELE74482')
0.04612213347075496 ('FRO40251', 'ELE74482')
0.04622764936764064 ('DAI85309', 'FRO32293')
0.0462478184991274 ('ELE26917', 'ELE92920')
0.046347682615869204 ('DAI62779', 'DAI42493')
0.04657411553963278 ('FRO80039', 'GRO15017')
0.04663746457098686 ('FRO40251', 'DAI22177')
0.046640755136035536 ('GRO73461', 'ELE74482')
0.046640755136035536 ('GRO73461', 'GRO94758')
0.04664914586070959 ('SNA80324', 'DAI88079')
0.04668411867364747 ('ELE26917', 'DAI51880')
0.04668411867364747 ('ELE26917', 'ELE59935')
0.04670967741935484 ('ELE17451', 'ELE59935')
0.046781115879828326 ('FRO31317', 'DAI31081')
0.04696774193548387 ('ELE17451', 'FRO53271')
0.04696774193548387 ('ELE17451', 'SNA90094')
0.04696774193548387 ('ELE17451', 'SNA93860')
0.04697766097240473 ('SNA80324', 'DAI88807')
0.04700105226236408 ('ELE32164', 'DAI55148')
0.04700105226236408 ('ELE32164', 'FRO35904')
0.04712041884816754 ('ELE26917', 'DAI83948')
0.047149122807017545 ('DAI75645', 'DAI91290')
0.047351806383725006 ('ELE32164', 'DAI92600')
0.047351806383725006 ('ELE32164', 'ELE14480')
0.047351806383725006 ('ELE32164', 'SNA99873')
0.04746977160770264 ('FRO80039', 'SNA93860')
0.04751461988304093 ('DAI75645', 'ELE56788')
0.04754762261886906 ('DAI62779', 'ELE12792')
0.04754762261886906 ('DAI62779', 'ELE66600')
0.047556719022687606 ('ELE26917', 'GRO44993')
0.04765784114052953 ('SNA45677', 'FRO32293')
0.04766812677145066 ('FRO40251', 'DAI91290')
0.04774193548387097 ('ELE17451', 'DAI42083')
0.04774193548387097 ('ELE17451', 'SNA38068')
0.04775124930594114 ('GRO73461', 'GRO81087')
0.04775413711583924 ('GRO21487', 'DAI87448')
0.04775413711583924 ('GRO21487', 'ELE74482')
0.04788011695906433 ('DAI75645', 'SNA72163')
0.04799301919720768 ('ELE26917', 'DAI91290')
0.04799301919720768 ('ELE26917', 'ELE20847')
0.048 ('ELE17451', 'SNA62128')
0.04805331462644686 ('ELE32164', 'FRO89565')
0.048068669527897 ('FRO31317', 'ELE56788')
0.04830649639089395 ('GRO73461', 'ELE91337')
0.04840406874780779 ('ELE32164', 'ELE66600')
0.04840406874780779 ('ELE32164', 'SNA38068')
0.04842931937172775 ('ELE26917', 'DAI35347')
0.04842931937172775 ('ELE26917', 'ELE34057')
0.048472505091649694 ('SNA45677', 'ELE66810')
0.04851612903225806 ('ELE17451', 'DAI63921')
0.04862023653088042 ('SNA80324', 'ELE56788')
0.04875482286916871 ('ELE32164', 'DAI91290')
0.04886561954624782 ('ELE26917', 'GRO64900')
0.048927038626609444 ('FRO31317', 'GRO46854')
0.048927038626609444 ('FRO31317', 'GRO61133')
0.04896783485357657 ('SNA99873', 'DAI49199')
0.04896783485357657 ('SNA99873', 'GRO32086')
0.049105576990529635 ('ELE32164', 'DAI83733')
0.049105576990529635 ('ELE32164', 'SNA55762')
0.0491725768321513 ('GRO21487', 'SNA72163')
0.04926108374384237 ('FRO80039', 'ELE14480')
0.049277266754270695 ('SNA80324', 'SNA93860')
0.04930191972076789 ('ELE26917', 'DAI55911')
0.04934753262336883 ('DAI62779', 'SNA38068')
0.04954838709677419 ('ELE17451', 'DAI42493')
0.04970891177787729 ('FRO80039', 'DAI92600')
0.04971652856519843 ('DAI85309', 'FRO35904')
0.049738219895287955 ('ELE26917', 'ELE92629')
0.04980645161290322 ('ELE17451', 'DAI22896')
0.0499001996007984 ('GRO59710', 'ELE11111')
0.0499001996007984 ('GRO59710', 'SNA93860')
0.05007309941520468 ('DAI75645', 'ELE74482')
0.05010183299389002 ('SNA45677', 'ELE56788')
0.050156739811912224 ('FRO80039', 'FRO53271')
0.05015783935461242 ('ELE32164', 'SNA72163')
0.05017452006980803 ('ELE26917', 'ELE56788')
0.05021459227467811 ('FRO31317', 'SNA55762')
0.05039920159680639 ('GRO59710', 'SNA59903')
0.050408065290446474 ('SNA99873', 'SNA93860')
0.0505024478227261 ('FRO40251', 'ELE66600')
0.05058874836458788 ('DAI85309', 'DAI91290')
0.050591016548463354 ('GRO21487', 'DAI92600')
0.05059132720105125 ('SNA80324', 'SNA90094')
0.050604567845947156 ('FRO80039', 'DAI35347')
0.0506108202443281 ('ELE26917', 'GRO46854')
0.050643776824034335 ('FRO31317', 'SNA90094')
0.05076011337284205 ('FRO40251', 'GRO15017')
0.050888142102736435 ('SNA99873', 'ELE37048')
0.050919842312746384 ('SNA80324', 'DAI91290')
0.050919842312746384 ('SNA80324', 'GRO35122')
0.0510248582642826 ('DAI85309', 'DAI42493')
0.05105239587998209 ('FRO80039', 'ELE56788')
0.05106382978723404 ('GRO21487', 'DAI42493')
0.05108273181565797 ('GRO73461', 'DAI43223')
0.051210101718695195 ('ELE32164', 'ELE56788')
0.051248357424441525 ('SNA80324', 'FRO32293')
0.051297435128243585 ('DAI62779', 'SNA59903')
0.05132382892057027 ('SNA45677', 'GRO81087')
0.05139720558882235 ('GRO59710', 'DAI91290')
0.05139720558882235 ('GRO59710', 'ELE53126')
0.05139720558882235 ('GRO59710', 'SNA90094')
0.05150022391401702 ('FRO80039', 'GRO38814')
0.05150214592274678 ('FRO31317', 'GRO69543')
0.051536643026004726 ('GRO21487', 'FRO32293')
0.051576872536136666 ('SNA80324', 'ELE11111')
0.05179077557330585 ('FRO40251', 'SNA72163')
0.05179077557330585 ('FRO40251', 'SNA90094')
0.05184829572731637 ('SNA99873', 'FRO35904')
0.051897078063672046 ('DAI85309', 'GRO38814')
0.0519053876478318 ('SNA80324', 'FRO31317')
0.05191160996141705 ('ELE32164', 'ELE26917')
0.051915602443087176 ('GRO73461', 'ELE20847')
0.051915602443087176 ('GRO73461', 'GRO35122')
0.05193133047210301 ('FRO31317', 'GRO38814')
0.05194805194805195 ('FRO80039', 'FRO78087')
0.0520484411234218 ('FRO40251', 'DAI83948')
0.05213849287169043 ('SNA45677', 'GRO44993')
0.05230610667353775 ('FRO40251', 'DAI83733')
0.05235602094240838 ('ELE26917', 'DAI63921')
0.05235602094240838 ('ELE26917', 'SNA47306')
0.05236051502145923 ('FRO31317', 'DAI42493')
0.05238709677419355 ('ELE17451', 'DAI22177')
0.05238709677419355 ('ELE17451', 'SNA96271')
0.052395879982086876 ('FRO80039', 'GRO56726')
0.0524822695035461 ('GRO21487', 'GRO44993')
0.05264516129032258 ('ELE17451', 'DAI92600')
0.05264736763161842 ('DAI62779', 'ELE59935')
0.05276929786306149 ('DAI85309', 'GRO81087')
0.05276929786306149 ('DAI85309', 'SNA40784')
0.05279232111692845 ('ELE26917', 'GRO81087')
0.05289421157684631 ('GRO59710', 'ELE62598')
0.05294735263236838 ('DAI62779', 'DAI63921')
0.05294735263236838 ('DAI62779', 'DAI91290')
0.05295315682281059 ('SNA45677', 'DAI43223')
0.052955082742316785 ('GRO21487', 'SNA90094')
0.05299707602339181 ('DAI75645', 'ELE66600')
0.05299707602339181 ('DAI75645', 'GRO56726')
0.053125 ('GRO71621', 'ELE92920')
0.053125 ('GRO71621', 'GRO81087')
0.053205407762756216 ('DAI85309', 'GRO15017')
0.05321888412017167 ('FRO31317', 'ELE66600')
0.05324733763311834 ('DAI62779', 'ELE56788')
0.053303720155469185 ('GRO73461', 'FRO53271')
0.053303720155469185 ('GRO73461', 'FRO78087')
0.053314626446860754 ('ELE32164', 'FRO40251')
0.053336768874001544 ('FRO40251', 'SNA99873')
0.05354796320630749 ('SNA80324', 'SNA99873')
0.053594434424117494 ('FRO40251', 'DAI93865')
0.05367741935483871 ('ELE17451', 'ELE56788')
0.053701772679874867 ('FRO85978', 'GRO44993')
0.0537280701754386 ('DAI75645', 'FRO32293')
0.05373936408419167 ('FRO80039', 'ELE74009')
0.05373936408419167 ('FRO80039', 'ELE91337')
0.05373936408419167 ('FRO80039', 'GRO94758')
0.05376860297647624 ('SNA99873', 'GRO30386')
0.05389221556886228 ('GRO59710', 'ELE34057')
0.05390070921985816 ('GRO21487', 'DAI22896')
0.05390070921985816 ('GRO21487', 'GRO81647')
0.05393548387096774 ('ELE17451', 'GRO46854')
0.05393548387096774 ('ELE17451', 'GRO61133')
0.0540161346895826 ('ELE32164', 'ELE34057')
0.0540161346895826 ('ELE32164', 'SNA93860')
0.05407725321888412 ('FRO31317', 'SNA96271')
0.05410122164048865 ('ELE26917', 'GRO94758')
0.054109765524349394 ('FRO40251', 'GRO46854')
